Date,Route,Grade,Notes,URL,Pitches,Location,Average Rating,Your Rating,Style,Lead Style,Route Type,Your Suggested Grade,Length In Feet,Rating Code
2026-04-24,The Fury,5.11c,,https://www.mountainproject.com/route/108952238/the-fury,1,Kentucky > Red River Gorge > Muir Valley > Bibliothek,3.7,3,Lead,Onsight,Sport,,70,5200
2026-04-24,Lolita,5.12a,,https://www.mountainproject.com/route/112148053/lolita,1,Kentucky > Red River Gorge > Muir Valley > Bibliothek,2.7,3,Lead,Onsight,Sport,,40,6600
2026-04-24,East of Eden,5.12a,,https://www.mountainproject.com/route/119996054/east-of-eden,1,Kentucky > Red River Gorge > Muir Valley > Bibliothek,2.7,3,Lead,Onsight,Sport,,40,6600
2026-04-22,Korsakoff Syndrome,5.11c,十三，十七,https://www.mountainproject.com/route/112162687/korsakoff-syndrome,1,Kentucky > Red River Gorge > Natural Bridge Region > Beer Trailer Crag,2.3,2,Lead,Onsight,Sport,,60,5200
2026-04-22,High Life,5.12b,три осем,https://www.mountainproject.com/route/111790326/high-life,1,Kentucky > Red River Gorge > Natural Bridge Region > Beer Trailer Crag,2.8,1,Lead,Redpoint,Sport,,60,6900
2026-04-20,You Take Sally,5.11d,,https://www.mountainproject.com/route/107353365/you-take-sally,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall,3,2,Lead,Flash,Sport,,80,5500
2026-04-16,Whiskey in the Water,5.12d,"Hogeita hamar, hogeita hiru.",https://www.mountainproject.com/route/123499392/whiskey-in-the-water,1,Kentucky > Red River Gorge > Natural Bridge Region > Beer Trailer Crag,3.7,4,Lead,Redpoint,Sport,,65,7500
2026-04-07,Mind Meld,5.12d,ဆယ့်ခြောက်ဆယ့်ရှစ်,https://www.mountainproject.com/route/107055917/mind-meld,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Coal Bank Hollow > The Dark Side,3.5,4,Lead,Redpoint,Sport,,75,7500
2026-04-04,Regulation Number Five,5.12c,"
",https://www.mountainproject.com/route/122880419/regulation-number-five,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Alcatraz,3,3,Lead,Redpoint,Sport,5.12b,55,7200
2026-03-31,Golden Road,5.12a,"
",https://www.mountainproject.com/route/107203531/golden-road,1,Kentucky > Red River Gorge > Muir Valley > Coyote Cliff,3.2,4,Lead,Redpoint,Sport,,80,6600
2026-03-19,Butane Junky,5.12b,Fünf Acht,https://www.mountainproject.com/route/110239204/butane-junky,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,3.2,4,Lead,Redpoint,Sport,,70,6900
2026-02-20,Better Than Homemade,5.12d,,https://www.mountainproject.com/route/116738472/better-than-homemade,1,Kentucky > Red River Gorge > Natural Bridge Region > Beer Trailer Crag,3.2,4,Lead,Redpoint,Sport,,60,7500
2026-02-18,Bullfighter,5.12b,,https://www.mountainproject.com/route/107060475/bullfighter,1,Kentucky > Red River Gorge > Muir Valley > The Arsenal,3.6,3,Lead,Redpoint,Sport,,65,6900
2026-01-13,Gecko Circus,5.13a,"שלושים ואחת, שש",https://www.mountainproject.com/route/202338619/gecko-circus,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Coal Bank Hollow > Gold Coast,3,3,Lead,Redpoint,Sport,5.13a,70,8600
2026-01-05,The Shaman,5.12c,Diciotto e diciannove,https://www.mountainproject.com/route/113654627/the-shaman,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monastery,3.4,3,Lead,Redpoint,Sport,,65,7200
2026-01-05,Prajna,5.12b,,https://www.mountainproject.com/route/116592860/prajna,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monastery,2.8,3,Lead,Redpoint,Sport,,50,6900
2025-12-23,The Suffering,5.12b,"yigirma bir, olti",https://www.mountainproject.com/route/110430032/the-suffering,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monastery,3.5,3,Lead,Redpoint,Sport,,65,6900
2025-12-20,Monks Brew,5.10d,"
",https://www.mountainproject.com/route/110521185/monks-brew,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monastery,2.7,2,Lead,Onsight,Sport,,50,3500
2025-12-20,Barking Dogmas,5.11+,,https://www.mountainproject.com/route/110430004/barking-dogmas,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monastery,3.4,3,Lead,Onsight,Sport,,60,5300
2025-12-20,Repent for Your Sends,5.12d,نهه ویشت، نهه.,https://www.mountainproject.com/route/118913106/repent-for-your-sends,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monastery,3.6,4,Lead,Redpoint,Sport,,60,7500
2025-12-16,Single Grainy Photograph,5.12b,"
",https://www.mountainproject.com/route/200439012/single-grainy-photograph,1,Kentucky > Red River Gorge > Ash Branch,2.8,2,Lead,Onsight,Sport,5.12a/b,35,6900
2025-12-16,The Big Lez,5.12b,,https://www.mountainproject.com/route/126064628/the-big-lez,1,Kentucky > Red River Gorge > Ash Branch,2.8,2,Lead,Onsight,Sport,5.12a,35,6900
2025-11-26,Galunlati,5.12b,"
",https://www.mountainproject.com/route/106333606/galunlati,1,Kentucky > Red River Gorge > Muir Valley > The Solarium,3.5,3,Lead,Redpoint,Sport,,95,6900
2025-11-24,Brilliant Orange,5.13a,"bîst û sê, çar",https://www.mountainproject.com/route/120051658/brilliant-orange,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Coal Bank Hollow > Gold Coast,3.8,4,Lead,Redpoint,Sport,,60,8600
2025-11-15,Too Many Puppies,5.12-,hiji opat belas,https://www.mountainproject.com/route/105893624/too-many-puppies,1,Kentucky > Red River Gorge > Northern Gorge > Left Flank,3.6,4,Lead,Redpoint,Sport,,60,6700
2025-11-15,Hen-ry!,5.11b,,https://www.mountainproject.com/route/105867536/hen-ry,1,Kentucky > Red River Gorge > Northern Gorge > Left Flank,2.9,3,Lead,Onsight,Sport,,50,4900
2025-11-15,Sex Farm,5.12b,eziyisikhombisa neshumi nesishiyagalolunye,https://www.mountainproject.com/route/106146866/sex-farm,1,Kentucky > Red River Gorge > Northern Gorge > Left Flank,3.6,4,Lead,Onsight,Sport,,50,6900
2025-11-09,Gunks 5.9,5.11c,,https://www.mountainproject.com/route/201896550/gunks-59,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Hell's Kitchen,3.2,3,Lead,Onsight,Sport,,60,5200
2025-10-25,The Verdict,5.12b,"
",https://www.mountainproject.com/route/106932351/the-verdict,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > The Motherlode > (5) Undertow Wall,3,2,Lead,Onsight,Sport,,70,6900
2025-10-22,Pay the Devil,5.13b,"ceithre cinn is fiche, ceithre cinn déag",https://www.mountainproject.com/route/117371117/pay-the-devil,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Flat Hollow > The Shipyard,4,4,Lead,Redpoint,Sport,,65,8900
2025-10-20,Evil Emperor,5.13a,"Zevenentwintig, vijftien",https://www.mountainproject.com/route/107941228/evil-emperor,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Coal Bank Hollow > The Dark Side,3.9,4,Lead,Redpoint,Sport,,90,8600
2025-10-09,Fatty Fatty Butter Pants,5.13a,,https://www.mountainproject.com/route/120450445/fatty-fatty-butter-pants,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Flat Hollow > Throwback Crag,3.6,3,Lead,Redpoint,Sport,,80,8600
2025-10-09,"To Julie, With Love",5.12c,Worth the effort for the incredible view at the top. A very memorable experience.,https://www.mountainproject.com/route/123129774/to-julie-with-love,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Flat Hollow > Throwback Crag,2.7,2,Lead,Redpoint,Sport,,80,7200
2025-10-01,72 Hour Energy,5.12a,,https://www.mountainproject.com/route/110261773/72-hour-energy,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Bear's Den,3.3,3,Lead,Onsight,Sport,,70,6600
2025-10-01,Bear Down,5.12b,,https://www.mountainproject.com/route/122841848/bear-down,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Bear's Den,3.2,3,Lead,Onsight,Sport,,55,6900
2025-09-20,Spank,5.13a,"iwakāluakūmālima, ʻumikumamālima",https://www.mountainproject.com/route/106615729/spank,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Drive-By Crag,3.5,3,Lead,Redpoint,Sport,,70,8600
2025-09-16,Evil Eye,5.11d,"
",https://www.mountainproject.com/route/123540328/evil-eye,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Coal Bank Hollow > The Crossroads,2.7,3,Lead,Onsight,Sport,,70,5500
2025-09-07,Trephination,5.11d,Veintiséis y trece,https://www.mountainproject.com/route/111311299/trephination,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > The Infirmary,3.6,3,Lead,Onsight,Sport,,85,5500
2025-09-03,Ticks and Beer,5.12c,"Hogeita hamar, bat",https://www.mountainproject.com/route/119962912/ticks-and-beer,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Bear's Den,3.4,3,Lead,Flash,Sport,,70,7200
2025-09-03,Barren Gold,5.12a,十三，三,https://www.mountainproject.com/route/116498016/barren-gold,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Bear's Den,3,3,Lead,Redpoint,Sport,,60,6600
2025-09-03,Golden Snow Cone,5.10c,,https://www.mountainproject.com/route/109469913/golden-snow-cone,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Bear's Den,2.8,4,Lead,Onsight,Sport,,55,3200
2025-08-31,Xeno-Demon,5.12a,Diciotto e diciotto,https://www.mountainproject.com/route/126228906/xeno-demon,1,Kentucky > Red River Gorge > Ash Branch,3.6,3,Lead,Flash,Sport,,50,6600
2025-08-31,Immoral Equity,5.12b/c,sampu at labintatlo,https://www.mountainproject.com/route/126080864/immoral-equity,1,Kentucky > Red River Gorge > Ash Branch,2.6,3,Lead,Redpoint,Sport,,55,7100
2025-08-26,Primus Noctum,5.12a,"
",https://www.mountainproject.com/route/106091144/primus-noctum,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Drive-By Crag,3.2,3,Lead,Redpoint,Sport,,75,6600
2025-08-26,Naked Lunch,5.12a,neljä yksi,https://www.mountainproject.com/route/107906862/naked-lunch,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Drive-By Crag,3,2,Lead,Flash,Sport,,80,6600
2025-07-27,The Name of the Game,5.13a,,https://www.mountainproject.com/route/107059757/the-name-of-the-game,1,Wyoming > Ten Sleep Canyon > Downtown > The Cigar,3.8,4,Lead,Redpoint,Sport,,60,8600
2025-07-26,Soul Bossa Nova,5.12b,,https://www.mountainproject.com/route/117689788/soul-bossa-nova,1,Wyoming > Ten Sleep Canyon > Old Road Crags > Powers Wall,3.8,3,Lead,Onsight,Sport,,100,6900
2025-07-26,Shags Very Well,5.12c,,https://www.mountainproject.com/route/119177366/shags-very-well,1,Wyoming > Ten Sleep Canyon > Old Road Crags > Powers Wall,3.6,3,Lead,Onsight,Sport,,100,7200
2025-07-26,Felicity Shagwell,5.11a,,https://www.mountainproject.com/route/119177343/felicity-shagwell,1,Wyoming > Ten Sleep Canyon > Old Road Crags > Powers Wall,3.2,2,Lead,Onsight,Sport,,100,4600
2025-07-24,Robot Steamroller,5.12a/b,,https://www.mountainproject.com/route/107714230/robot-steamroller,1,Wyoming > Ten Sleep Canyon > Downtown > Coolsville,3.8,3,Lead,Onsight,Sport,,85,6800
2025-07-13,The Arch,5.12a,,https://www.mountainproject.com/route/106009475/the-arch,1,Wyoming > Grand Teton National Park > Blacktail Butte > Lower Blacktail Butte,3.7,4,Lead,Redpoint,"Sport, Alpine",,85,6600
2025-07-11,Full Charge,5.11c/d,,https://www.mountainproject.com/route/108209091/full-charge,1,Wyoming > Ten Sleep Canyon > Lake Point > Full Charge Crag,3.7,2,Lead,Onsight,Sport,,80,5400
2025-07-09,Holla,5.12d,,https://www.mountainproject.com/route/116079005/holla,1,Wyoming > Ten Sleep Canyon > Crag 6 > Rap Stars Wall,4,4,Lead,Redpoint,Sport,,95,7500
2025-07-09,The Jizzleberry Bush,5.12a/b,,https://www.mountainproject.com/route/114804735/the-jizzleberry-bush,1,Wyoming > Ten Sleep Canyon > Crag 6 > Twizzlers Corner,3.4,2,Lead,Flash,Sport,,90,6800
2025-07-07,EKV: Exo-atmospheric Kill Vehicle,5.12c,,https://www.mountainproject.com/route/105956405/ekv-exo-atmospheric-kill-vehicle,1,Wyoming > Ten Sleep Canyon > Mondo Beyondo > Downpour Wall,3.8,3,Lead,Redpoint,Sport,,85,7200
2025-07-07,Some Boys Never Learn extension,5.11c,"
",https://www.mountainproject.com/route/112015974/some-boys-never-learn-extension,1,Wyoming > Ten Sleep Canyon > Valhalla > 2. Munitions Roof,3,2,Lead,Onsight,Sport,,,5200
2025-07-07,Some Boys Never Learn,5.10c,,https://www.mountainproject.com/route/105856626/some-boys-never-learn,1,Wyoming > Ten Sleep Canyon > Valhalla > 2. Munitions Roof,2.8,2,Lead,Onsight,Sport,,,3200
2025-07-05,High Park Rodeo,5.13b,,https://www.mountainproject.com/route/121054199/high-park-rodeo,1,Wyoming > Ten Sleep Canyon > Crag 6 > Mushroom Tip Wall,3.9,4,Lead,Redpoint,Sport,,50,8900
2025-07-04,Dr. Jeckyl,5.11c,,https://www.mountainproject.com/route/114805061/dr-jeckyl,1,Wyoming > Ten Sleep Canyon > Crag 6 > Twizzlers Corner,3.1,2,Lead,Onsight,Sport,,100,5200
2025-07-01,Left El Shinto,5.12b,,https://www.mountainproject.com/route/107290020/left-el-shinto,1,Wyoming > Ten Sleep Canyon > French Cattle Ranch > Sector Shinto,3.7,4,Lead,Onsight,Sport,,,6900
2025-07-01,Tangerine Fat Explosion,5.12c,"
",https://www.mountainproject.com/route/107755911/tangerine-fat-explosion,1,Wyoming > Ten Sleep Canyon > French Cattle Ranch > Whiny Baby Wall,3.9,4,Lead,Redpoint,Sport,,65,7200
2025-06-29,Pocket Rocket,5.12b,,https://www.mountainproject.com/route/106158261/pocket-rocket,1,Wyoming > Ten Sleep Canyon > Valhalla > 2. Munitions Roof,2.5,3,Lead,Onsight,Sport,,90,6900
2025-06-29,Crematorium Roof,5.12a,,https://www.mountainproject.com/route/107727542/crematorium-roof,1,Wyoming > Ten Sleep Canyon > Mondo Beyondo > Antarctica,3.5,4,Lead,Onsight,Sport,,95,6600
2025-06-29,Burning Grandma Bones,5.11b,,https://www.mountainproject.com/route/107276829/burning-grandma-bones,1,Wyoming > Ten Sleep Canyon > Mondo Beyondo > Antarctica,2.9,3,Lead,Onsight,Sport,,75,4900
2025-06-28,Hell Yes I want Cheesy Poofs,5.11c,,https://www.mountainproject.com/route/106537679/hell-yes-i-want-cheesy-poofs,1,Wyoming > Ten Sleep Canyon > French Cattle Ranch > The Back Forty,3.5,3,Lead,Onsight,Sport,,90,5200
2025-06-28,Crossbow Chaos Theory,5.11a,,https://www.mountainproject.com/route/107199345/crossbow-chaos-theory,1,Wyoming > Ten Sleep Canyon > French Cattle Ranch > Big Kahuna Pillar,3.4,3,Lead,Onsight,Sport,,90,4600
2025-06-08,Pulling Pockets,5.10d,"mejilelogun, mẹjọ",https://www.mountainproject.com/route/105893126/pulling-pockets,1,Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag),3.2,4,Lead,Onsight,Sport,,50,3500
2025-06-08,Jersey Connection,5.12b,,https://www.mountainproject.com/route/106045278/jersey-connection,1,Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag),3.2,3,Lead,Redpoint,Sport,,50,6900
2025-06-08,Ro Shampo,5.12a,여덟과 넷,https://www.mountainproject.com/route/105860759/ro-shampo,1,Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag),3.6,2,Lead,Flash,Sport,,60,6600
2025-05-25,Ale-8-One,5.12b,पन्ध्र तेइस,https://www.mountainproject.com/route/106445478/ale-8-one,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > The Motherlode > (5) Undertow Wall,3.6,1,Lead,Redpoint,Sport,,70,6900
2025-05-25,Resurrection,5.12c,hiji genep,https://www.mountainproject.com/route/106727829/resurrection,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > The Motherlode > (5) Undertow Wall,3.7,2,Lead,Redpoint,Sport,,80,7200
2025-05-21,Trust in Jesus,5.11b,,https://www.mountainproject.com/route/106577231/trust-in-jesus,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > The Motherlode > (2) Warm-Up Wall,2.8,2,Lead,Onsight,Sport,,50,4900
2025-05-18,Scarlet Scorchdropper,5.12a,,https://www.mountainproject.com/route/111756736/scarlet-scorchdropper,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,3.5,3,Lead,Onsight,Sport,,60,6600
2025-05-18,Nasal Nuggets,5.12a,"iwakāluakumamālima, iwakāluakumamālima",https://www.mountainproject.com/route/125729219/nasal-nuggets,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,2.6,3,Lead,Onsight,Sport,,70,6600
2025-05-18,Mike Teavee,5.12a,,https://www.mountainproject.com/route/108749249/mike-teavee,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,2.6,4,Lead,Onsight,Sport,,70,6600
2025-05-18,Stalker,5.12a,,https://www.mountainproject.com/route/116561166/stalker,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,2.6,3,Lead,Onsight,Sport,,55,6600
2025-05-11,The Abyss,5.12d,Ομάδα είκοσι τρία έως τριάντα δύο,https://www.mountainproject.com/route/111268403/the-abyss,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Deep End,3.9,4,Lead,Redpoint,Sport,,85,7500
2025-05-03,Naked,5.12a/b,hiji tujuh,https://www.mountainproject.com/route/108341704/naked,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,3.3,2,Lead,Redpoint,Sport,,50,6800
2025-05-03,Snozzberries,5.11d,,https://www.mountainproject.com/route/108411358/snozzberries,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,3.8,3,Lead,Redpoint,Sport,,80,5500
2025-05-03,Hip to the Jive,5.11b,"undeviginti, quinque",https://www.mountainproject.com/route/107379148/hip-to-the-jive,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > Chocolate Factory,3.3,3,Lead,Onsight,Sport,,65,4900
2025-04-30,The Reacharound,5.12c,"
",https://www.mountainproject.com/route/107055948/the-reacharound,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > The Motherlode > (1) Buckeye Buttress,2.5,3,Lead,Redpoint,Sport,,40,7200
2025-04-24,Knuckle Sauce,5.12a,여덟과 셋,https://www.mountainproject.com/route/110889697/knuckle-sauce,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Deep End,3.5,3,Lead,Flash,Sport,,70,6600
2025-04-22,Break the Scene,5.12a,,https://www.mountainproject.com/route/106924124/break-the-scene,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Sore Heel Hollow > The Gallery,3.6,4,Lead,Redpoint,Sport,,50,6600
2025-04-22,Banksy,5.12d,སུམ་ཅུ་སོ་གཉིས།གཅིག།,https://www.mountainproject.com/route/119824977/banksy,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Sore Heel Hollow > The Gallery,3.4,3,Lead,Redpoint,Sport,,65,7500
2025-04-19,Mosaic,5.12c,,https://www.mountainproject.com/route/106895798/mosaic,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Sore Heel Hollow > The Gallery,3.7,3,Lead,Flash,Sport,,60,7200
2025-04-12,Iniquity,5.12b,द्वादश च त्रीणि च,https://www.mountainproject.com/route/106586316/iniquity,1,Kentucky > Red River Gorge > Muir Valley > Midnight Surf,3.5,4,Lead,Onsight,Sport,,90,6900
2025-04-09,Medusa,5.12a,,https://www.mountainproject.com/route/202503208/medusa,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monster Wall,3.6,3,Lead,Flash,Sport,,100,6600
2025-04-09,Godzilla,5.12d,སུམ་ཅུ་རྩ་གཉིས་དང་བཞི།,https://www.mountainproject.com/route/202503098/godzilla,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > Monster Wall,3.5,4,Lead,Redpoint,Sport,,120,7500
2025-04-08,Bulldog,V8,,https://www.mountainproject.com/route/113695083/bulldog,1,Kentucky > Red River Gorge > Red River Gorge Bouldering > Friction Slab AKA Bulldog Boulder,3.9,3,Send,,Boulder,,12,20800
2025-04-01,Tissue Tiger,5.12b,"bîst û sê, panzdeh",https://www.mountainproject.com/route/105870261/tissue-tiger,1,Kentucky > Red River Gorge > Northern Gorge > Military Wall,3.6,2,Lead,Redpoint,Sport,,70,6900
2025-04-01,Nicorette,5.12a,"
",https://www.mountainproject.com/route/106594004/nicorette,1,Kentucky > Red River Gorge > Northern Gorge > Military Wall,3.3,3,Lead,Redpoint,Sport,,60,6600
2025-04-01,Tie One On,5.13a,neljä yhdeksän,https://www.mountainproject.com/route/113828925/tie-one-on,1,Kentucky > Red River Gorge > Natural Bridge Region > Beer Trailer Crag,2.8,3,Lead,Redpoint,Sport,5.12d,55,8600
2025-03-28,Prometheus Unbound,5.13a,"
",https://www.mountainproject.com/route/106575798/prometheus-unbound,1,Kentucky > Red River Gorge > Muir Valley > The Sanctuary,3.9,3,Lead,Redpoint,Sport,,100,8600
2025-03-28,Chainsaw Massacre,5.12a,"
",https://www.mountainproject.com/route/106153682/chainsaw-massacre,1,Kentucky > Red River Gorge > (BRRP) Bald Rock Recreational Preserve > The Motherlode > (5) Undertow Wall,3.1,1,Lead,Flash,Sport,,60,6600
2025-03-24,Massive Attack,5.12a,twee twintig,https://www.mountainproject.com/route/109053849/massive-attack,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Sore Heel Hollow > Curbside,3.5,4,Lead,Redpoint,Sport,,85,6600
2025-03-23,Push Present,5.11d,"
",https://www.mountainproject.com/route/111324974/push-present,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > The Infirmary,2.8,3,Lead,Onsight,Sport,,80,5500
2025-03-23,Pandemic,5.12b,"
",https://www.mountainproject.com/route/111366282/pandemic,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > The Infirmary,3.2,3,Lead,Redpoint,Sport,,80,6900
2025-03-23,Halitosis,5.12d,"שלושים ואחת, תשע",https://www.mountainproject.com/route/115460936/halitosis,1,Kentucky > Red River Gorge > (MFRP) Miller Fork Recreational Preserve > The Infirmary,2.8,3,Lead,Redpoint,Sport,,75,7500
